Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
SVK,8,703,703,Slovakia,0,1060,-,-,1060,11.8,21.9,1.5
VNM,8,704,704,Viet Nam,0,5223,-,-,5223,4.6,5.6,0.54
SVN,8,705,705,Slovenia,0,407,-,-,407,11.6,23.0,1.4
SOM,8,706,706,Somalia,0,330,-,-,330,4.1,2.0,0.46
ZAF,8,710,710,South Africa,0,2244,-,-,2244,4.3,3.8,0.52
ZWE,8,716,716,Zimbabwe,0,305,-,-,305,3.9,2.0,0.46
ESP,8,724,724,Spain,0,10240,-,-,10240,13.4,25.9,1.7
SSD,8,728,728,South Sudan,0,151,-,-,151,2.3,1.3,0.25
SDN,8,729,729,Sudan,0,585,-,-,585,1.8,1.3,0.18
SUR,8,740,740,Suriname,0,53,-,-,53,8.8,9.3,1.1
SWZ,8,748,748,Eswatini,0,14,-,-,14,2.1,1.2,0.23
SWE,8,752,752,Sweden,0,1782,-,-,1782,12.6,20.6,1.5
CHE,8,756,756,Switzerland,0,1327,-,-,1327,10.1,17.7,1.2
SYR,8,760,760,Syrian Arab Republic,0,662,-,-,662,4.6,3.5,0.55
TJK,8,762,762,Tajikistan,0,120,-,-,120,1.6,1.2,0.18
THA,8,764,764,Thailand,0,6337,-,-,6337,5.9,9.9,0.69
TGO,8,768,768,Togo,0,166,-,-,166,3.3,1.9,0.37
TTO,8,780,780,Trinidad and Tobago,0,127,-,-,127,6.7,9.8,0.79
ARE,8,784,784,United Arab Emirates,0,300,-,-,300,4.8,3.0,0.62
TUN,8,788,788,Tunisia,0,732,-,-,732,5.2,6.4,0.58
TUR,8,792,792,Türkiye,0,7975,-,-,7975,8.5,9.9,0.99
TKM,8,795,795,Turkmenistan,0,85,-,-,85,1.5,1.4,0.18
UGA,8,800,800,Uganda,0,585,-,-,585,2.9,1.2,0.34
UKR,8,804,804,Ukraine,0,6486,-,-,6486,9.3,17.0,1.1
MKD,8,807,807,North Macedonia,0,263,-,-,263,8.3,14.0,1.0
EGY,8,818,818,Egypt,0,3136,-,-,3136,3.5,3.1,0.36
GBR,8,826,826,United Kingdom,0,11034,-,-,11034,11.4,18.7,1.4
TZA,8,834,834,"Tanzania, United Republic of",0,722,-,-,722,2.0,1.2,0.21
USA,8,840,840,United States of America,0,58852,-,-,58852,13.1,20.0,1.5
BFA,8,854,854,Burkina Faso,0,264,-,-,264,2.0,1.2,0.19
URY,8,858,858,Uruguay,0,584,-,-,584,13.3,18.8,1.6
UZB,8,860,860,Uzbekistan,0,957,-,-,957,3.0,2.9,0.37
VEN,8,862,862,Venezuela,0,2501,-,-,2501,8.1,9.0,0.98
WSM,8,882,882,Samoa,0,17,-,-,17,10.8,8.7,1.4
YEM,8,887,887,Yemen,0,762,-,-,762,4.4,2.5,0.49
ZMB,8,894,894,Zambia,0,134,-,-,134,1.6,0.70,0.19
,,,,Total,,581411,,,581411,6.8,7.9,0.81
