"ISOcode","cancer_type","distribution_method","risk_calculation","LRI_lifetime_risk","LRI_lifetime_risk_percent","LRI_variance","LRI_std_error","LRI_std_error_percent","LRI_ci_lower","LRI_ci_upper","LRI_ci_lower_percent","LRI_ci_upper_percent","LRI_n_age_groups","LRI_note","LRM_lifetime_risk","LRM_lifetime_risk_percent","LRM_variance","LRM_std_error","LRM_std_error_percent","LRM_ci_lower","LRM_ci_upper","LRM_ci_lower_percent","LRM_ci_upper_percent","LRM_n_age_groups","LRM_note"
52,"colon","Poisson","both",0.0441073087970336,4.410731,2.62436191264586e-05,0.00512285263563755,0.512285,0.034066517631184,0.0541480999628832,3.406652,5.41481,18,"Success",0.0366029128122851,3.660291,2.23278312824112e-05,0.00472523346327049,0.472523,0.027341455224275,0.0458643704002953,2.734146,4.586437,18,"Success"
32,"colon","Poisson","both",0.0432468409785782,4.324684,1.90387870083121e-07,0.000436334585018333,0.043633,0.0423916251919422,0.0441020567652141,4.239163,4.410206,18,"Success",0.0295405044862793,2.95405,1.45628207233879e-07,0.000381612640296255,0.038161,0.0287925437112987,0.03028846526126,2.879254,3.028847,18,"Success"
51,"colon","Poisson","both",0.0422295134801341,4.222951,2.96097348087188e-06,0.0017207479422832,0.172075,0.038856847513259,0.0456021794470092,3.885685,4.560218,18,"Success",0.0206504942590583,2.065049,1.60285254933426e-06,0.00126603813107436,0.126604,0.0181690595221526,0.0231319289959641,1.816906,2.313193,18,"Success"
915,"colon","Poisson","both",0.0417659761661515,4.176598,2.88684123457572e-07,0.000537293330926015,0.053729,0.0407128812375365,0.0428190710947665,4.071288,4.281907,18,"Success",0.0299845177683673,2.998452,2.26933492833442e-07,0.000476375369675471,0.047638,0.0290508220438034,0.0309182134929312,2.905082,3.091821,18,"Success"
100,"colon","Poisson","both",0.0414853814688206,4.148538,6.15208602366493e-07,0.000784352345802888,0.078435,0.0399480508710469,0.0430227120665942,3.994805,4.302271,18,"Success",0.0273469973772573,2.7347,4.54589405859053e-07,0.000674232456841891,0.067423,0.0260255017618472,0.0286684929926674,2.60255,2.866849,18,"Success"
112,"colon","Poisson","both",0.0413312182901563,4.133122,6.01502915854052e-07,0.000775566190504751,0.077557,0.039811108556767,0.0428513280235456,3.981111,4.285133,18,"Success",0.0212300447143608,2.123004,3.44814132758366e-07,0.000587208764204321,0.058721,0.0200791155365203,0.0223809738922013,2.007912,2.238097,18,"Success"
740,"colon","Poisson","both",0.0412668596969871,4.126686,3.03896849428322e-05,0.00551268400534914,0.551268,0.0304619990465028,0.0520717203474714,3.0462,5.207172,18,"Success",0.0247636804365162,2.476368,2.03797969171034e-05,0.0045143988433792,0.45144,0.015915458703493,0.0336119021695394,1.591546,3.36119,18,"Success"
410,"colon","Poisson","both",0.0411893281966667,4.118933,1.37722781193893e-07,0.000371110200875553,0.037111,0.0404619522029506,0.0419167041903828,4.046195,4.19167,18,"Success",0.0229774021903302,2.29774,9.95596172123251e-08,0.000315530691395188,0.031553,0.0223589620351956,0.0235958423454648,2.235896,2.359584,18,"Success"
643,"colon","Poisson","both",0.0409102241656621,4.091022,4.34963720850494e-08,0.000208557838704397,0.020856,0.0405014508018015,0.0413189975295228,4.050145,4.1319,18,"Success",0.0229062587426546,2.290626,2.92296930933647e-08,0.000170966935672851,0.017097,0.0225711635487358,0.0232413539365734,2.257116,2.324135,18,"Success"
923,"colon","Poisson","both",0.0408222413425005,4.082224,2.02364978321446e-08,0.000142255045014736,0.014226,0.0405434214542716,0.0411010612307294,4.054342,4.110106,18,"Success",0.0242992605326675,2.429926,1.40012680112936e-08,0.000118326953866368,0.011833,0.0240673397030894,0.0245311813622456,2.406734,2.453118,18,"Success"
