"ISOcode","LRI_CC","LRM_CC","LRI_RC","LRM_RC","LRI_CRC","LRM_CRC"
634,1.683719,1.124221,1.161433,0.853253,2.893047,2.000348
638,3.583463,3.003385,1.806748,0.925451,5.540367,4.019169
642,4.073256,2.640688,2.659431,1.488585,6.840691,4.205968
643,4.091022,2.290626,2.078739,1.323019,6.244818,3.640491
646,0.256386,0.200601,0.322014,0.256636,0.612411,0.483598
662,2.642252,2.183451,0.636655,0.415792,3.277186,2.599243
678,0.584209,0.412714,0.094188,0.094188,0.678392,0.506902
682,1.818422,1.203468,1.426158,0.906565,3.330558,2.16313
686,0.464377,0.345241,0.385867,0.303853,0.948528,0.725239
688,3.576386,2.271462,3.231246,1.928959,6.949114,4.277874
694,0.011171,0.011171,0.036778,0.035935,0.051399,0.050556
702,7.873883,5.614619,4.102482,2.364571,12.095917,8.051673
703,5.477432,3.481792,3.331078,2.03453,9.019994,5.680422
704,1.251116,0.826511,1.561764,0.986663,2.926361,1.890947
705,4.787803,2.887513,3.010622,1.613921,7.837232,4.521065
706,0.865271,0.771298,0.556322,0.51079,1.494298,1.344399
710,1.265815,1.45867,0.955252,0.434999,2.330325,1.943431
716,0.792389,0.629066,0.642922,0.512631,1.586111,1.256768
724,6.0908,3.307522,2.695623,1.12118,8.86736,4.466944
728,0.602376,0.531619,0.464907,0.421339,1.121797,0.99206
729,0.660462,0.542891,0.592281,0.603659,1.262029,1.153441
740,4.126686,2.476368,0.77242,0.29459,4.913324,2.770958
748,0.322083,0.264099,0.178509,0.140823,0.565903,0.463317
752,5.756768,2.803293,2.460942,1.162344,8.392035,4.032202
756,4.607628,2.045085,2.164885,0.901718,7.052776,3.044383
760,1.843716,1.267327,1.035709,0.736079,2.907847,2.016138
762,0.577121,0.358982,0.540266,0.363297,1.182449,0.790549
764,1.978258,1.284157,1.611166,1.046871,3.648872,2.360056
768,0.787659,0.571762,0.345639,0.271061,1.212163,0.901748
780,3.974672,3.05503,1.306476,0.745763,5.45699,3.87413
784,1.796292,1.013277,1.260933,0.8641,3.086923,1.904318
788,1.353026,0.942417,1.121093,0.777704,2.605456,1.816864
792,2.863948,2.068528,1.407514,0.785107,4.315107,2.868708
795,0.425567,0.339606,0.583009,0.427029,1.155366,0.875297
800,0.643455,0.52057,0.474248,0.39116,1.240472,0.998005
804,2.613907,1.492771,2.043601,1.285946,4.727236,2.814489
807,2.592983,1.844286,2.226531,1.354395,4.876167,3.198681
818,0.611329,0.415308,0.312402,0.264833,1.019669,0.739629
826,5.741731,2.612665,2.771216,1.981199,8.773449,4.709338
834,0.35601,0.276307,0.51617,0.424426,1.129547,0.89845
840,3.752135,1.656577,1.368153,0.585745,5.385488,2.308325
854,0.166471,0.131551,0.079261,0.06274,0.320177,0.251679
858,6.034653,4.057145,2.211427,1.03044,8.443537,5.175139
860,0.698694,0.385548,0.654211,0.394052,1.458649,0.830943
862,3.109602,1.629125,0.99855,0.493542,4.277194,2.17915
882,2.578457,1.538574,1.552217,0.981658,4.124249,2.520233
887,0.825855,0.63141,0.497333,0.346116,1.3338,0.98633
894,0.289893,0.214865,0.496113,0.420408,0.827711,0.664624
900,2.897693,1.67887,1.613023,0.945315,4.614255,2.678238
905,3.904809,1.863912,1.443338,0.690831,5.609009,2.622352
906,3.287137,1.84548,2.320983,1.392284,5.653072,3.284616
910,0.677675,0.532104,0.527836,0.41976,1.330369,1.048101
911,0.363157,0.299178,0.349674,0.280601,0.81666,0.673773
912,1.282543,0.996411,0.822282,0.660645,2.201567,1.719081
913,1.211103,1.378481,0.905146,0.422881,2.222605,1.852088
914,0.466555,0.363401,0.335248,0.27086,0.947656,0.753039
915,4.176598,2.998452,0.860845,0.463903,5.180653,3.516022
916,2.024202,1.323843,0.534108,0.266673,2.617667,1.611
920,1.74788,1.207282,1.369923,0.923231,3.193118,2.176171
922,2.480913,1.728536,1.171393,0.718389,3.701763,2.471001
923,4.082224,2.429926,2.357032,1.432706,6.529257,3.911402
924,5.895473,2.668227,2.758554,1.729549,8.869535,4.494841
925,5.824517,3.208812,2.428291,1.082596,8.388517,4.345968
926,5.207793,2.543912,2.49942,1.065901,7.936119,3.689413
928,1.134354,0.797954,0.976175,0.713643,2.442011,1.681417
931,3.239661,2.020763,1.466687,0.712479,4.887854,2.792564
954,3.323631,2.818317,1.183573,0.614203,4.501659,3.43252
957,2.069446,0.977673,1.526207,0.856695,3.631496,1.876351
981,4.954912,2.609092,2.268541,1.126316,7.381382,3.796141
982,2.275214,1.390232,1.732123,1.119343,4.077915,2.556893
983,0.782205,0.537369,0.539845,0.348381,1.39225,0.924525
984,0.793867,0.609055,0.583133,0.438314,1.53658,1.171005
