"ISOcode","AgeStart","AgeEnd","Ri"
356,35,39,2408
356,40,44,3427
356,45,49,5030
356,50,54,6773
356,55,59,8609
356,60,64,10237
356,65,69,10613
356,70,74,8304
356,75,79,5361
356,80,84,3206
356,85,999,2036
360,0,4,0
360,5,9,0
360,10,14,22
360,15,19,93
360,20,24,116
360,25,29,479
360,30,34,410
360,35,39,848
360,40,44,1719
360,45,49,2761
360,50,54,4022
360,55,59,4828
360,60,64,5326
360,65,69,5006
360,70,74,3909
360,75,79,2908
360,80,84,1965
360,85,999,1264
364,0,4,0
364,5,9,0
364,10,14,10
364,15,19,18
364,20,24,71
364,25,29,87
364,30,34,238
364,35,39,540
364,40,44,833
364,45,49,1039
364,50,54,1374
364,55,59,1679
364,60,64,1862
364,65,69,1827
364,70,74,1389
364,75,79,915
364,80,84,585
364,85,999,432
368,0,4,0
368,5,9,0
368,10,14,0
368,15,19,18
368,20,24,46
368,25,29,54
368,30,34,80
368,35,39,120
368,40,44,172
368,45,49,233
368,50,54,284
368,55,59,291
368,60,64,258
368,65,69,277
368,70,74,217
368,75,79,136
368,80,84,87
368,85,999,47
372,0,4,0
372,5,9,0
372,10,14,3
372,15,19,3
372,20,24,4
372,25,29,6
372,30,34,8
372,35,39,22
372,40,44,50
372,45,49,99
372,50,54,161
372,55,59,247
372,60,64,350
372,65,69,435
372,70,74,477
372,75,79,497
372,80,84,355
372,85,999,404
376,0,4,0
376,5,9,0
376,10,14,3
376,15,19,6
376,20,24,13
376,25,29,6
376,30,34,21
376,35,39,58
376,40,44,110
376,45,49,176
376,50,54,232
376,55,59,296
376,60,64,363
376,65,69,391
376,70,74,401
376,75,79,354
376,80,84,306
376,85,999,504
380,0,4,0
380,5,9,0
380,10,14,11
380,15,19,20
380,20,24,28
380,25,29,46
380,30,34,83
380,35,39,193
380,40,44,522
380,45,49,1244
380,50,54,2177
380,55,59,3447
380,60,64,4681
380,65,69,6552
380,70,74,8987
380,75,79,8984
380,80,84,8642
380,85,999,9167
384,0,4,0
384,5,9,0
384,10,14,0
384,15,19,3
