ISOcode,AgeStart,AgeEnd,Ri,Di,Ni,Mi
96,0,4,0,0,289053.5,2395
96,5,9,0,0,257192.5,204
96,10,14,0,0,244845.5,156
96,15,19,0,0,249772,277
96,20,24,0,0,247486,395
96,25,29,0,0,253221.5,485
96,30,34,0,0,210819.5,504
96,35,39,0,0,163542.5,524
96,40,44,0,0,124896.5,554
96,45,49,1,0,102294,642
96,50,54,0,0,85955,787
96,55,59,0,0,68073.5,901
96,60,64,0,0,48068,978
96,65,69,1,0,36839.5,1133
96,70,74,0,0,27497.5,1259
96,75,79,0,0,15652.5,1087
96,80,84,0,0,9011.5,935
96,85,999,0,0,5670.5,999
100,0,4,0,0,13628418.5,37481
100,5,9,0,0,14336110.5,2423
100,10,14,0,0,14522576,3234
100,15,19,0,0,15276880.5,15661
100,20,24,0,0,16336263.5,24845
100,25,29,1,0,16318409,25298
100,30,34,3,0,16383995,28600
100,35,39,6,3,16920603.5,37901
100,40,44,15,7,16103032,48583
100,45,49,28,15,14240084,59696
100,50,54,39,21,12675564,77386
100,55,59,47,24,11793104.5,102959
100,60,64,58,26,10211212.5,130209
100,65,69,62,26,8038445,150046
100,70,74,60,24,5883665,162253
100,75,79,44,15,3772704.5,179809
100,80,84,27,9,2301760.5,192846
100,85,999,21,7,1563586,306351
104,0,4,0,0,36378.5,77
104,5,9,0,0,38101.5,10
104,10,14,17,0,36718,11
104,15,19,5,5,38952,21
104,20,24,7,7,39579,32
104,25,29,19,6,37800.5,43
104,30,34,16,5,34707,52
104,35,39,115,50,30076,64
104,40,44,208,101,25223,87
104,45,49,286,143,21708,122
104,50,54,343,169,18381,158
104,55,59,312,168,14720,191
104,60,64,283,172,11426.5,228
104,65,69,291,187,7855.5,224
104,70,74,246,170,5182,225
104,75,79,168,125,3015.5,196
104,80,84,109,86,1776.5,191
104,85,999,70,58,1132.5,245
108,0,4,0,0,103127,389
108,5,9,0,0,100924,72
108,10,14,5,2,90746,53
108,15,19,2,0,80126,82
108,20,24,1,0,71633.5,103
108,25,29,3,1,58993,92
108,30,34,2,0,52837.5,96
108,35,39,6,4,49860.5,117
108,40,44,6,3,42483,141
108,45,49,6,4,36574.5,185
108,50,54,7,4,28874.5,225
108,55,59,9,6,21228,258
108,60,64,10,8,15316,294
108,65,69,14,13,11262,349
108,70,74,12,11,7900.5,396
108,75,79,9,9,4587.5,381
108,80,84,6,6,2855,393
108,85,999,3,3,1737.5,431
112,0,4,0,0,1619.5,4
112,5,9,0,0,2046.5,0
112,10,14,0,0,2422.5,0
112,15,19,0,0,2373,1
112,20,24,0,0,2372,1
112,25,29,1,0,2777.5,1
112,30,34,4,2,3242,2
112,35,39,21,12,3768,3
112,40,44,47,30,3849,5
112,45,49,72,44,3264.5,7
112,50,54,104,66,2850,10
112,55,59,135,80,2375.5,15
112,60,64,170,97,1965,21
112,65,69,140,84,1374,25
112,70,74,97,52,938.5,30
112,75,79,47,21,586,32
112,80,84,38,14,285,27
112,85,999,32,12,210.5,43
116,0,4,0,0,31645.5,61
116,5,9,0,0,33279.5,7
116,10,14,3,0,31530.5,7
116,15,19,1,0,33327.5,21
116,20,24,2,0,37506,32
116,25,29,9,3,41419.5,37
116,30,34,4,1,41678,45
116,35,39,17,7,39873.5,62
116,40,44,25,12,37043,124
116,45,49,26,15,32570.5,208
116,50,54,54,27,27964.5,269
116,55,59,65,33,21724,290
116,60,64,62,35,17566.5,308
116,65,69,63,42,12446.5,299
116,70,74,68,50,7818.5,274
116,75,79,56,46,4016,233
116,80,84,40,36,2540.5,258
116,85,999,28,28,1419.5,453
120,0,4,0,0,308423,421
120,5,9,0,0,333834.5,58
120,10,14,7,1,350170.5,74
120,15,19,2,1,323764,166
120,20,24,1,1,309822,212
120,25,29,1,0,333769,266
120,30,34,2,1,454035.5,479
120,35,39,11,5,479384,840
120,40,44,18,9,503221,1327
120,45,49,20,11,538664,2516
120,50,54,28,17,503902,3728
120,55,59,32,20,449116.5,5410
120,60,64,32,23,456730,8488
