"ISOcode","AgeStart","AgeEnd","Di"
204,25,29,3
204,30,34,0
204,35,39,1
204,40,44,4
204,45,49,2
204,50,54,3
204,55,59,1
204,60,64,7
204,65,69,3
204,70,74,9
204,75,79,6
204,80,84,2
204,85,999,1
208,0,4,0
208,5,9,0
208,10,14,0
208,15,19,0
208,20,24,0
208,25,29,0
208,30,34,0
208,35,39,0
208,40,44,1
208,45,49,4
208,50,54,8
208,55,59,14
208,60,64,15
208,65,69,16
208,70,74,19
208,75,79,21
208,80,84,14
208,85,999,14
214,0,4,0
214,5,9,0
214,10,14,0
214,15,19,1
214,20,24,0
214,25,29,0
214,30,34,1
214,35,39,1
214,40,44,1
214,45,49,3
214,50,54,4
214,55,59,7
214,60,64,9
214,65,69,7
214,70,74,10
214,75,79,7
214,80,84,6
214,85,999,10
218,0,4,0
218,5,9,0
218,10,14,0
218,15,19,1
218,20,24,0
218,25,29,1
218,30,34,1
218,35,39,2
218,40,44,2
218,45,49,6
218,50,54,8
218,55,59,6
218,60,64,10
218,65,69,12
218,70,74,13
218,75,79,13
218,80,84,12
218,85,999,23
222,0,4,0
222,5,9,0
222,10,14,0
222,15,19,0
222,20,24,0
222,25,29,0
222,30,34,0
222,35,39,2
222,40,44,1
222,45,49,2
222,50,54,2
222,55,59,5
222,60,64,6
222,65,69,4
222,70,74,5
222,75,79,5
222,80,84,9
222,85,999,17
226,0,4,0
226,5,9,0
226,10,14,0
226,15,19,0
226,20,24,0
226,25,29,0
226,30,34,0
226,35,39,0
226,40,44,1
226,45,49,1
226,50,54,1
226,55,59,1
226,60,64,2
226,65,69,2
226,70,74,2
226,75,79,0
226,80,84,0
226,85,999,0
231,0,4,0
231,5,9,0
231,10,14,34
231,15,19,28
231,20,24,17
231,25,29,29
231,30,34,20
231,35,39,48
231,40,44,52
231,45,49,63
231,50,54,75
231,55,59,82
231,60,64,78
231,65,69,77
231,70,74,71
231,75,79,46
231,80,84,19
231,85,999,5
232,0,4,0
232,5,9,0
232,10,14,1
232,15,19,0
232,20,24,0
232,25,29,0
232,30,34,0
232,35,39,0
232,40,44,0
232,45,49,3
232,50,54,4
232,55,59,3
232,60,64,4
232,65,69,3
232,70,74,3
232,75,79,3
232,80,84,1
232,85,999,0
233,0,4,0
233,5,9,0
233,10,14,0
233,15,19,0
233,20,24,0
233,25,29,0
233,30,34,0
233,35,39,0
233,40,44,1
233,45,49,3
233,50,54,4
233,55,59,7
233,60,64,7
233,65,69,6
233,70,74,5
233,75,79,3
233,80,84,3
233,85,999,3
242,0,4,0
242,5,9,0
242,10,14,0
242,15,19,0
242,20,24,0
242,25,29,0
242,30,34,0
242,35,39,0
242,40,44,0
242,45,49,1
242,50,54,2
242,55,59,2
242,60,64,1
242,65,69,1
242,70,74,0
242,75,79,1
242,80,84,0
242,85,999,0
246,0,4,0
246,5,9,0
246,10,14,0
246,15,19,0
246,20,24,0
246,25,29,0
246,30,34,0
246,35,39,0
246,40,44,1
246,45,49,2
246,50,54,4
246,55,59,10
246,60,64,13
246,65,69,17
246,70,74,22
246,75,79,20
246,80,84,17
246,85,999,19
250,0,4,0
250,5,9,0
250,10,14,0
250,15,19,0
250,20,24,0
250,25,29,0
250,30,34,1
250,35,39,2
250,40,44,13
250,45,49,61
250,50,54,124
250,55,59,198
250,60,64,222
250,65,69,238
250,70,74,261
250,75,79,199
250,80,84,157
250,85,999,219
254,0,4,0
254,5,9,0
254,10,14,0
254,15,19,0
254,20,24,0
254,25,29,0
254,30,34,0
254,35,39,0
254,40,44,0
254,45,49,0
254,50,54,0
254,55,59,0
254,60,64,0
254,65,69,1
254,70,74,0
254,75,79,0
254,80,84,0
254,85,999,0
258,0,4,0
258,5,9,0
258,10,14,0
258,15,19,0
258,20,24,0
258,25,29,0
258,30,34,0
258,35,39,0
258,40,44,0
258,45,49,0
258,50,54,2
258,55,59,1
258,60,64,1
258,65,69,1
258,70,74,0
258,75,79,2
258,80,84,0
258,85,999,0
262,0,4,0
262,5,9,0
262,10,14,0
262,15,19,0
262,20,24,0
262,25,29,0
262,30,34,0
262,35,39,0
262,40,44,0
262,45,49,0
262,50,54,2
262,55,59,2
262,60,64,2
262,65,69,1
262,70,74,2
262,75,79,0
262,80,84,0
262,85,999,0
266,0,4,0
266,5,9,0
266,10,14,0
266,15,19,0
266,20,24,0
266,25,29,0
266,30,34,0
266,35,39,1
266,40,44,1
266,45,49,2
266,50,54,2
266,55,59,3
266,60,64,5
266,65,69,3
266,70,74,2
266,75,79,2
266,80,84,1
266,85,999,1
268,0,4,0
268,5,9,0
268,10,14,0
268,15,19,0
268,20,24,0
268,25,29,0
268,30,34,0
268,35,39,0
268,40,44,2
268,45,49,6
268,50,54,9
268,55,59,15
268,60,64,17
268,65,69,18
268,70,74,13
268,75,79,10
268,80,84,7
268,85,999,10
270,0,4,0
270,5,9,0
270,10,14,0
270,15,19,0
270,20,24,0
270,25,29,0
270,30,34,1
270,35,39,0
270,40,44,1
270,45,49,1
270,50,54,0
270,55,59,1
270,60,64,1
270,65,69,0
270,70,74,0
270,75,79,0
270,80,84,0
270,85,999,0
275,0,4,0
275,5,9,0
275,10,14,0
275,15,19,0
275,20,24,0
275,25,29,0
275,30,34,1
275,35,39,0
275,40,44,1
275,45,49,1
275,50,54,2
275,55,59,4
275,60,64,3
275,65,69,2
275,70,74,4
275,75,79,2
275,80,84,2
275,85,999,0
276,0,4,0
276,5,9,0
276,10,14,0
276,15,19,0
276,20,24,0
276,25,29,0
276,30,34,1
276,35,39,0
276,40,44,10
276,45,49,52
276,50,54,139
276,55,59,272
276,60,64,312
276,65,69,314
276,70,74,311
276,75,79,273
276,80,84,333
276,85,999,278
288,0,4,0
288,5,9,0
288,10,14,0
288,15,19,0
288,20,24,0
288,25,29,0
288,30,34,8
288,35,39,5
288,40,44,13
288,45,49,7
288,50,54,21
288,55,59,24
288,60,64,17
288,65,69,12
288,70,74,12
288,75,79,11
288,80,84,6
288,85,999,3
300,0,4,0
300,5,9,0
300,10,14,0
300,15,19,0
300,20,24,0
300,25,29,0
300,30,34,0
300,35,39,2
300,40,44,5
300,45,49,10
300,50,54,15
300,55,59,19
300,60,64,18
300,65,69,22
300,70,74,30
300,75,79,34
300,80,84,39
300,85,999,56
312,0,4,0
312,5,9,0
312,10,14,0
312,15,19,0
312,20,24,0
312,25,29,0
312,30,34,0
312,35,39,0
312,40,44,0
312,45,49,1
312,50,54,1
312,55,59,1
312,60,64,1
312,65,69,1
312,70,74,1
312,75,79,1
312,80,84,1
312,85,999,1
316,0,4,0
316,5,9,0
316,10,14,0
316,15,19,0
316,20,24,0
316,25,29,0
316,30,34,0
316,35,39,0
316,40,44,0
316,45,49,0
316,50,54,0
316,55,59,0
316,60,64,0
316,65,69,0
316,70,74,0
316,75,79,0
316,80,84,0
316,85,999,1
320,0,4,0
320,5,9,0
320,10,14,0
320,15,19,0
320,20,24,0
320,25,29,0
320,30,34,1
320,35,39,5
320,40,44,1
320,45,49,5
320,50,54,3
320,55,59,6
320,60,64,6
320,65,69,8
320,70,74,5
320,75,79,6
320,80,84,10
320,85,999,18
324,0,4,0
324,5,9,0
324,10,14,0
324,15,19,0
324,20,24,1
324,25,29,2
324,30,34,3
324,35,39,4
324,40,44,5
324,45,49,4
324,50,54,0
324,55,59,6
324,60,64,6
324,65,69,0
324,70,74,6
324,75,79,6
324,80,84,3
324,85,999,1
328,0,4,0
328,5,9,0
328,10,14,0
328,15,19,0
328,20,24,0
328,25,29,0
328,30,34,0
328,35,39,0
328,40,44,0
328,45,49,0
328,50,54,1
328,55,59,0
328,60,64,3
328,65,69,1
328,70,74,1
328,75,79,0
328,80,84,2
328,85,999,0
332,0,4,0
332,5,9,0
332,10,14,2
332,15,19,0
332,20,24,0
332,25,29,2
332,30,34,1
332,35,39,3
332,40,44,3
332,45,49,3
332,50,54,5
332,55,59,7
332,60,64,4
332,65,69,4
332,70,74,3
332,75,79,13
332,80,84,7
332,85,999,12
340,0,4,0
340,5,9,0
340,10,14,0
340,15,19,0
340,20,24,0
340,25,29,0
340,30,34,9
340,35,39,0
340,40,44,0
340,45,49,5
340,50,54,10
340,55,59,0
340,60,64,6
340,65,69,0
340,70,74,0
340,75,79,0
340,80,84,0
340,85,999,0
348,0,4,0
348,5,9,0
348,10,14,0
348,15,19,0
348,20,24,0
348,25,29,0
348,30,34,0
348,35,39,2
348,40,44,12
348,45,49,41
348,50,54,61
348,55,59,70
348,60,64,81
348,65,69,95
348,70,74,73
348,75,79,48
348,80,84,27
348,85,999,18
352,0,4,0
352,5,9,0
352,10,14,0
352,15,19,0
352,20,24,0
352,25,29,0
352,30,34,0
352,35,39,0
352,40,44,0
352,45,49,1
352,50,54,0
352,55,59,1
352,60,64,0
352,65,69,0
352,70,74,1
352,75,79,1
352,80,84,0
352,85,999,1
356,0,4,0
356,5,9,0
356,10,14,67
356,15,19,80
356,20,24,367
356,25,29,1013
356,30,34,2321
