"Region","lifetime_risk_percent_CC","lifetime_risk_percent_RC","lifetime_risk_percent_CRC","ISOcode","ci_lower_percent_CC","ci_upper_percent_CC","ci_lower_percent_RC","ci_upper_percent_RC","ci_lower_percent_CRC","ci_upper_percent_CRC"
"Spain",6.0908,2.695623,8.86736,724,6.010376,6.171225,2.644876,2.74637,8.770845,8.963874
"South Sudan",0.602376,0.464907,1.121797,728,0.43879,0.765962,0.323191,0.606623,0.904035,1.339558
"Sudan",0.660462,0.592281,1.262029,729,0.584565,0.736359,0.52445,0.660113,1.160122,1.363936
"Suriname",4.126686,0.77242,4.913324,740,3.0462,5.207172,0.342152,1.202688,3.750816,6.075832
"Eswatini",0.322083,0.178509,0.565903,748,0.128277,0.51589,0.05582,0.301199,0.330885,0.80092
"Sweden",5.756768,2.460942,8.392035,752,5.582639,5.930898,2.353038,2.568847,8.183226,8.600845
"Switzerland",4.607628,2.164885,7.052776,756,4.436558,4.778697,2.054337,2.275433,6.843472,7.262079
"Syria",1.843716,1.035709,2.907847,760,1.685975,2.001457,0.904651,1.166768,2.702155,3.11354
"Tajikistan",0.577121,0.540266,1.182449,762,0.434106,0.720137,0.404148,0.676383,0.983094,1.381805
"Thailand",1.978258,1.611166,3.648872,764,1.930498,2.026018,1.569042,1.65329,3.584467,3.713278
"Togo",0.787659,0.345639,1.212163,768,0.595541,0.979777,0.213502,0.477777,0.97728,1.447046
"Trinidad & Tobago",3.974672,1.306476,5.45699,780,3.280614,4.66873,0.98155,1.631401,4.679761,6.234219
"United Arab Emirates",1.796292,1.260933,3.086923,784,1.381885,2.2107,0.833257,1.688608,2.490158,3.683687
"Tunisia",1.353026,1.121093,2.605456,788,1.23759,1.468461,1.008004,1.234182,2.438951,2.77196
"Turkey",2.863948,1.407514,4.315107,792,2.804694,2.923203,1.369132,1.445896,4.243938,4.386276
"Turkmenistan",0.425567,0.583009,1.155366,795,0.303987,0.547148,0.445197,0.72082,0.956022,1.354709
"Uganda",0.643455,0.474248,1.240472,800,0.576177,0.710733,0.418014,0.530481,1.146515,1.334429
"Ukraine",2.613907,2.043601,4.727236,804,2.558387,2.669428,1.99638,2.090823,4.653478,4.800994
"North Macedonia",2.592983,2.226531,4.876167,807,2.319717,2.86625,1.985876,2.467186,4.508227,5.244107
"Egypt",0.611329,0.312402,1.019669,818,0.578211,0.644448,0.288664,0.33614,0.975795,1.063543
"United Kingdom",5.741731,2.771216,8.773449,826,5.671577,5.811884,2.724475,2.817957,8.687428,8.859471
"Tanzania",0.35601,0.51617,1.129547,834,0.319784,0.392236,0.46227,0.570069,1.056987,1.202108
"United States",3.752135,1.368153,5.385488,840,3.725377,3.778892,1.35379,1.382517,5.35431,5.416666
"Burkina Faso",0.166471,0.079261,0.320177,854,0.143965,0.188976,0.055071,0.103451,0.283939,0.356415
"Uruguay",6.034653,2.211427,8.443537,858,5.69485,6.374456,2.0146,2.408254,8.045243,8.84183
"Uzbekistan",0.698694,0.654211,1.458649,860,0.645777,0.751611,0.606461,0.701961,1.385049,1.532248
"Venezuela",3.109602,0.99855,4.277194,862,2.983431,3.235774,0.935706,1.061393,4.134118,4.42027
"Samoa",2.578457,1.552217,4.124249,882,1.384509,3.772405,0.67311,2.431323,2.63531,5.613188
"Yemen",0.825855,0.497333,1.3338,887,0.744081,0.90763,0.436325,0.558342,1.231606,1.435993
"Zambia",0.289893,0.496113,0.827711,894,0.214887,0.3649,0.381724,0.610502,0.690344,0.965077
"World",2.897693,1.613023,4.614255,900,2.891101,2.904285,1.608434,1.617611,4.606129,4.622381
"Northern America",3.904809,1.443338,5.609009,905,3.878859,3.930759,1.429226,1.45745,5.57872,5.639297
"Eastern Asia",3.287137,2.320983,5.653072,906,3.274536,3.299738,2.31103,2.330936,5.636883,5.66926
"Eastern Africa",0.677675,0.527836,1.330369,910,0.657343,0.698006,0.509438,0.546235,1.301554,1.359183
"Middle Africa",0.363157,0.349674,0.81666,911,0.339288,0.387027,0.327143,0.372204,0.781804,0.851515
"Northern Africa",1.282543,0.822282,2.201567,912,1.248728,1.316357,0.795616,0.848949,2.15739,2.245744
"Southern Africa",1.211103,0.905146,2.222605,913,1.161804,1.260402,0.864778,0.945514,2.157536,2.287673
"Western Africa",0.466555,0.335248,0.947656,914,0.449985,0.483125,0.321729,0.348767,0.924286,0.971027
"Caribbean",4.176598,0.860845,5.180653,915,4.071288,4.281907,0.817327,0.904363,5.06519,5.296116
"Central America",2.024202,0.534108,2.617667,916,1.980656,2.067749,0.513418,0.554798,2.568846,2.666488
"South-Eastern Asia",1.74788,1.369923,3.193118,920,1.728408,1.767352,1.353003,1.386844,3.16692,3.219315
"Western Asia",2.480913,1.171393,3.701763,922,2.44136,2.520465,1.14628,1.196507,3.654541,3.748986
"Eastern Europe",4.082224,2.357032,6.529257,923,4.054342,4.110106,2.336767,2.377297,6.4944,6.564114
"Northern Europe",5.895473,2.758554,8.869535,924,5.839735,5.951211,2.721984,2.795125,8.801652,8.937418
"Southern Europe",5.824517,2.428291,8.388517,925,5.782833,5.866202,2.402443,2.454139,8.338668,8.438366
"Western Europe",5.207793,2.49942,7.936119,926,5.172254,5.243333,2.475873,2.522967,7.892607,7.979632
"Melanesia",1.134354,0.976175,2.442011,928,0.969182,1.299526,0.817473,1.134878,2.196874,2.687149
"South America",3.239661,1.466687,4.887854,931,3.210255,3.269066,1.44777,1.485604,4.852232,4.923477
"Micronesia",3.323631,1.183573,4.501659,954,2.044665,4.602598,0.710496,1.656651,3.137066,5.866251
"Polynesia",2.069446,1.526207,3.631496,957,1.440754,2.698139,0.96171,2.090704,2.781493,4.481498
"Very High HDI countries",4.954912,2.268541,7.381382,981,4.941303,4.96852,2.259837,2.277246,7.364985,7.39778
"High HDI countries",2.275214,1.732123,4.077915,982,2.266159,2.28427,1.724541,1.739705,4.065968,4.089863
"Medium HDI countries",0.782205,0.539845,1.39225,983,0.774005,0.790405,0.533366,0.546325,1.381543,1.402958
"Low HDI countries",0.793867,0.583133,1.53658,984,0.777265,0.810469,0.569429,0.596837,1.513882,1.559279
