"LocationId","AgeStart","AgeEnd","Value"
170,5,9,3688616
170,10,14,3854721
170,15,19,4193309
170,20,24,4417169.5
170,25,29,4398950
170,30,34,4092636.5
170,35,39,3743585.5
170,40,44,3318269.5
170,45,49,3022142.5
170,50,54,2941164.5
170,55,59,2636046
170,60,64,2100878.5
170,65,69,1581704
170,70,74,1102760
170,75,79,730367.5
170,80,84,433733
170,85,999,268820
174,0,4,112127.5
174,5,9,103702.5
174,10,14,90185.5
174,15,19,80034
174,20,24,72843.5
174,25,29,62500
174,30,34,54310
174,35,39,46111.5
174,40,44,37623
174,45,49,31792
174,50,54,27434
174,55,59,22226.5
174,60,64,15921
174,65,69,13656.5
174,70,74,9063.5
174,75,79,6964.5
174,80,84,3046.5
174,85,999,1444
175,0,4,51408
175,5,9,42441.5
175,10,14,37920.5
175,15,19,27982
175,20,24,19816
175,25,29,22208
175,30,34,19411.5
175,35,39,16963.5
175,40,44,14819.5
175,45,49,12383.5
175,50,54,9213.5
175,55,59,6867
175,60,64,4844.5
175,65,69,3543
175,70,74,2120
175,75,79,1245
175,80,84,755
175,85,999,547
178,0,4,840136.5
178,5,9,814400.5
178,10,14,678969.5
178,15,19,548255.5
178,20,24,458803.5
178,25,29,407896.5
178,30,34,382280.5
178,35,39,337606.5
178,40,44,293972
178,45,49,236481.5
178,50,54,188475.5
178,55,59,139845.5
178,60,64,97821.5
178,65,69,63146
178,70,74,40276
178,75,79,23610
178,80,84,12637
178,85,999,6118.5
180,0,4,16703221.5
180,5,9,13805551.5
180,10,14,11241701.5
180,15,19,9282673.5
180,20,24,7923890
180,25,29,6485734.5
180,30,34,5368043
180,35,39,4247690
180,40,44,3387100.5
180,45,49,2907017
180,50,54,2421323
180,55,59,1923948.5
180,60,64,1493968
180,65,69,1103576.5
180,70,74,801360
180,75,79,484022
180,80,84,229554.5
180,85,999,96515
184,0,4,1437.5
184,5,9,1400
184,10,14,1325.5
184,15,19,1331
184,20,24,1196.5
184,25,29,1141.5
184,30,34,1040.5
184,35,39,996.5
184,40,44,1028
184,45,49,1150
184,50,54,1236.5
184,55,59,1128.5
184,60,64,886.5
184,65,69,708
184,70,74,476.5
184,75,79,334
184,80,84,190
184,85,999,103
188,0,4,345463
188,5,9,364936
188,10,14,369791.5
188,15,19,380144.5
188,20,24,405079.5
188,25,29,423221
188,30,34,427318.5
188,35,39,391740.5
188,40,44,344019
188,45,49,310738
188,50,54,304794
188,55,59,284635.5
188,60,64,230019.5
188,65,69,175972.5
188,70,74,133192.5
188,75,79,92186
188,80,84,59846
188,85,999,41434
191,0,4,184859.5
191,5,9,201043
191,10,14,202041
191,15,19,203136.5
191,20,24,242384
191,25,29,242787.5
191,30,34,264260
191,35,39,285771
191,40,44,279044.5
191,45,49,268425
191,50,54,285789
191,55,59,297021.5
191,60,64,301575
191,65,69,269614.5
191,70,74,201977
191,75,79,168881.5
191,80,84,132223.5
191,85,999,98917.5
192,0,4,585875
192,5,9,629805
192,10,14,591381.5
192,15,19,683331.5
192,20,24,704142.5
192,25,29,773455
192,30,34,796697
192,35,39,655799.5
192,40,44,720773
192,45,49,974417.5
192,50,54,1004599.5
192,55,59,869724.5
192,60,64,596785.5
192,65,69,536419.5
192,70,74,447037
192,75,79,338336
192,80,84,215054
192,85,999,193063
196,0,4,67350.5
196,5,9,66914
196,10,14,62628
196,15,19,64056.5
196,20,24,75978
196,25,29,100796.5
196,30,34,117231.5
196,35,39,109416.5
196,40,44,93491.5
196,45,49,83902.5
196,50,54,78936.5
196,55,59,73071
196,60,64,64828.5
196,65,69,53804
196,70,74,44749.5
196,75,79,32997.5
196,80,84,21710
196,85,999,16974
203,0,4,557142
203,5,9,562262.5
203,10,14,552138
203,15,19,473578.5
203,20,24,495159
203,25,29,652382.5
203,30,34,699601
203,35,39,759081
203,40,44,916164
203,45,49,795039.5
203,50,54,686076.5
203,55,59,632615
203,60,64,667194
203,65,69,676790.5
203,70,74,590430.5
203,75,79,388821.5
203,80,84,228813.5
203,85,999,203581.5
204,0,4,2050580
204,5,9,1722200
204,10,14,1492093
204,15,19,1277555
204,20,24,1109362
204,25,29,947959.5
204,30,34,798854.5
204,35,39,665282
204,40,44,535186.5
204,45,49,444191
204,50,54,364923
204,55,59,288068
204,60,64,214370.5
204,65,69,153596
204,70,74,107214
204,75,79,69625
204,80,84,33522
204,85,999,15862
208,0,4,303398.5
208,5,9,308065
208,10,14,338451.5
208,15,19,344249
208,20,24,381614.5
208,25,29,391864.5
208,30,34,350025.5
208,35,39,328798.5
208,40,44,367350.5
208,45,49,390958
208,50,54,417515.5
208,55,59,382732.5
208,60,64,343122
208,65,69,320050.5
208,70,74,326583
208,75,79,232253
208,80,84,145288
208,85,999,123558
212,0,4,4552
212,5,9,4714.5
212,10,14,5292
212,15,19,5856.5
212,20,24,6375
212,25,29,6493
212,30,34,5479
212,35,39,4921
212,40,44,4184.5
212,45,49,4912
212,50,54,4835.5
212,55,59,4068.5
212,60,64,3204.5
212,65,69,2286.5
212,70,74,1714
212,75,79,1232.5
212,80,84,798.5
212,85,999,508.5
214,0,4,1027745
214,5,9,1027228.5
214,10,14,980730
214,15,19,981719
214,20,24,956841.5
214,25,29,920673.5
214,30,34,828529.5
214,35,39,755216.5
214,40,44,677311
214,45,49,598451.5
214,50,54,538538.5
214,55,59,475306.5
214,60,64,377952
214,65,69,269989
214,70,74,183272.5
214,75,79,124201
214,80,84,88677.5
214,85,999,69499.5
218,0,4,1500420.5
218,5,9,1595597.5
218,10,14,1574156
218,15,19,1565221.5
218,20,24,1562583.5
218,25,29,1496129.5
218,30,34,1389612
218,35,39,1236577.5
218,40,44,1077542
218,45,49,947811.5
218,50,54,830946.5
218,55,59,702983.5
218,60,64,579011.5
218,65,69,465451
218,70,74,333386
218,75,79,234188
218,80,84,144208
218,85,999,107914.5
222,0,4,529350
222,5,9,563013.5
222,10,14,566741.5
222,15,19,632623.5
222,20,24,666442.5
222,25,29,567515
222,30,34,435191
222,35,39,385270
222,40,44,367243.5
222,45,49,329105.5
222,50,54,290607.5
222,55,59,241523
222,60,64,201643
222,65,69,166922.5
222,70,74,129932.5
222,75,79,96874
222,80,84,61286
222,85,999,48932.5
226,0,4,224826.5
226,5,9,205418.5
226,10,14,173475.5
226,15,19,123560
226,20,24,128038.5
226,25,29,138730.5
226,30,34,135769.5
226,35,39,104354
226,40,44,81025
226,45,49,65613.5
226,50,54,52189.5
226,55,59,42945.5
226,60,64,28030.5
226,65,69,22059
226,70,74,12002.5
226,75,79,8168.5
226,80,84,4102
226,85,999,2721.5
231,0,4,16943408
231,5,9,15190256
231,10,14,14297087.5
231,15,19,12897729.5
231,20,24,11232764
231,25,29,9498991.5
231,30,34,7711882
231,35,39,5986467
231,40,44,4915943
231,45,49,4012576
231,50,54,3326793.5
231,55,59,2631890.5
231,60,64,1932635
231,65,69,1453981
231,70,74,1040336
231,75,79,617752.5
231,80,84,298390.5
231,85,999,131710
232,0,4,482415
232,5,9,484036.5
232,10,14,469170.5
232,15,19,404900
232,20,24,338930.5
232,25,29,247319
232,30,34,203871
232,35,39,175741
232,40,44,152287.5
232,45,49,132287
232,50,54,110874.5
232,55,59,89294.5
232,60,64,68820.5
232,65,69,51200.5
232,70,74,42376
232,75,79,26640.5
232,80,84,13201.5
232,85,999,5452
233,0,4,70991
233,5,9,73492
233,10,14,73610
233,15,19,62079
233,20,24,63875
233,25,29,84910.5
233,30,34,100435
233,35,39,94019.5
