"ISOcode","AgeStart","AgeEnd","Ni","Mi"
180,5,9,13805551.5,54245
180,10,14,11241701.5,26116
180,15,19,9282673.5,28923
180,20,24,7923890,33194
180,25,29,6485734.5,30918
180,30,34,5368043,28138
180,35,39,4247690,26456
180,40,44,3387100.5,26445
180,45,49,2907017,28082
180,50,54,2421323,33688
180,55,59,1923948.5,37227
180,60,64,1493968,44423
180,65,69,1103576.5,50767
180,70,74,801360,54975
180,75,79,484022,52135
180,80,84,229554.5,39090
180,85,999,96515,27814
184,0,4,1437.5,2
184,5,9,1400,0
184,10,14,1325.5,0
184,15,19,1331,0
184,20,24,1196.5,0
184,25,29,1141.5,0
184,30,34,1040.5,0
184,35,39,996.5,0
184,40,44,1028,4
184,45,49,1150,5
184,50,54,1236.5,8
184,55,59,1128.5,12
184,60,64,886.5,15
184,65,69,708,16
184,70,74,476.5,20
184,75,79,334,20
184,80,84,190,19
184,85,999,103,20
188,0,4,345463,474
188,5,9,364936,35
188,10,14,369791.5,78
188,15,19,380144.5,208
188,20,24,405079.5,349
188,25,29,423221,434
188,30,34,427318.5,522
188,35,39,391740.5,629
188,40,44,344019,742
188,45,49,310738,946
188,50,54,304794,1327
188,55,59,284635.5,1981
188,60,64,230019.5,2652
188,65,69,175972.5,3185
188,70,74,133192.5,3891
188,75,79,92186,4635
188,80,84,59846,5723
188,85,999,41434,9246
191,0,4,184859.5,175
191,5,9,201043,14
191,10,14,202041,13
191,15,19,203136.5,27
191,20,24,242384,51
191,25,29,242787.5,70
191,30,34,264260,92
191,35,39,285771,167
191,40,44,279044.5,321
191,45,49,268425,577
191,50,54,285789,1090
191,55,59,297021.5,2082
191,60,64,301575,3785
191,65,69,269614.5,6043
191,70,74,201977,7741
191,75,79,168881.5,8538
191,80,84,132223.5,11886
191,85,999,98917.5,19585
192,0,4,585875,517
192,5,9,629805,114
192,10,14,591381.5,153
192,15,19,683331.5,255
192,20,24,704142.5,467
192,25,29,773455,584
192,30,34,796697,913
192,35,39,655799.5,1258
192,40,44,720773,1925
192,45,49,974417.5,4065
192,50,54,1004599.5,6796
192,55,59,869724.5,10758
192,60,64,596785.5,12027
192,65,69,536419.5,15614
192,70,74,447037,20480
192,75,79,338336,24001
192,80,84,215054,24183
192,85,999,193063,40837
196,0,4,67350.5,35
196,5,9,66914,5
196,10,14,62628,5
196,15,19,64056.5,6
196,20,24,75978,13
196,25,29,100796.5,27
196,30,34,117231.5,33
196,35,39,109416.5,57
196,40,44,93491.5,79
196,45,49,83902.5,138
196,50,54,78936.5,220
196,55,59,73071,346
196,60,64,64828.5,552
196,65,69,53804,762
196,70,74,44749.5,1131
196,75,79,32997.5,1344
196,80,84,21710,1538
196,85,999,16974,2737
203,0,4,557142,305
203,5,9,562262.5,49
203,10,14,552138,53
203,15,19,473578.5,120
203,20,24,495159,180
203,25,29,652382.5,254
203,30,34,699601,463
203,35,39,759081,709
203,40,44,916164,1242
203,45,49,795039.5,2345
203,50,54,686076.5,3079
203,55,59,632615,4986
203,60,64,667194,7376
203,65,69,676790.5,13097
203,70,74,590430.5,20225
203,75,79,388821.5,22282
203,80,84,228813.5,20416
203,85,999,203581.5,36877
204,0,4,2050580,39017
204,5,9,1722200,6535
204,10,14,1492093,3252
204,15,19,1277555,3748
204,20,24,1109362,4322
204,25,29,947959.5,4152
204,30,34,798854.5,3875
204,35,39,665282,3786
204,40,44,535186.5,3873
204,45,49,444191,3981
204,50,54,364923,4655
204,55,59,288068,5141
204,60,64,214370.5,5962
204,65,69,153596,6688
204,70,74,107214,6849
204,75,79,69625,7058
204,80,84,33522,5413
204,85,999,15862,4318
208,0,4,303398.5,206
208,5,9,308065,19
208,10,14,338451.5,20
208,15,19,344249,56
208,20,24,381614.5,105
208,25,29,391864.5,120
208,30,34,350025.5,139
208,35,39,328798.5,194
208,40,44,367350.5,294
208,45,49,390958,605
208,50,54,417515.5,1005
208,55,59,382732.5,1954
208,60,64,343122,2810
208,65,69,320050.5,4098
208,70,74,326583,6154
208,75,79,232253,9685
208,80,84,145288,10035
208,85,999,123558,20919
212,0,4,4552,13
212,5,9,4714.5,0
212,10,14,5292,0
212,15,19,5856.5,5
212,20,24,6375,5
212,25,29,6493,5
212,30,34,5479,6
212,35,39,4921,10
212,40,44,4184.5,11
212,45,49,4912,19
212,50,54,4835.5,34
212,55,59,4068.5,46
212,60,64,3204.5,60
212,65,69,2286.5,68
212,70,74,1714,77
212,75,79,1232.5,89
212,80,84,798.5,88
212,85,999,508.5,108
214,0,4,1027745,6798
214,5,9,1027228.5,102
214,10,14,980730,196
214,15,19,981719,712
214,20,24,956841.5,1376
214,25,29,920673.5,1594
214,30,34,828529.5,1661
214,35,39,755216.5,1816
214,40,44,677311,2444
214,45,49,598451.5,3112
214,50,54,538538.5,3922
214,55,59,475306.5,5261
214,60,64,377952,6179
214,65,69,269989,6741
214,70,74,183272.5,7127
214,75,79,124201,6866
214,80,84,88677.5,7251
214,85,999,69499.5,11132
218,0,4,1500420.5,3730
218,5,9,1595597.5,441
218,10,14,1574156,559
218,15,19,1565221.5,1240
218,20,24,1562583.5,2044
218,25,29,1496129.5,2385
218,30,34,1389612,2616
218,35,39,1236577.5,2983
218,40,44,1077542,3468
218,45,49,947811.5,4358
218,50,54,830946.5,5905
218,55,59,702983.5,8203
218,60,64,579011.5,10088
218,65,69,465451,12148
218,70,74,333386,13358
218,75,79,234188,12789
218,80,84,144208,13262
218,85,999,107914.5,19885
222,0,4,529350,1288
222,5,9,563013.5,163
222,10,14,566741.5,187
222,15,19,632623.5,763
222,20,24,666442.5,1206
222,25,29,567515,1393
222,30,34,435191,1371
222,35,39,385270,1530
222,40,44,367243.5,1898
222,45,49,329105.5,2238
222,50,54,290607.5,2848
222,55,59,241523,3308
222,60,64,201643,3846
222,65,69,166922.5,4542
222,70,74,129932.5,5364
222,75,79,96874,6260
222,80,84,61286,6669
222,85,999,48932.5,9924
226,0,4,224826.5,3757
226,5,9,205418.5,319
226,10,14,173475.5,220
226,15,19,123560,243
226,20,24,128038.5,321
226,25,29,138730.5,419
226,30,34,135769.5,555
226,35,39,104354,622
226,40,44,81025,644
226,45,49,65613.5,720
226,50,54,52189.5,784
226,55,59,42945.5,926
226,60,64,28030.5,934
226,65,69,22059,1064
226,70,74,12002.5,955
226,75,79,8168.5,864
226,80,84,4102,694
226,85,999,2721.5,707
231,0,4,16943408,180797
231,5,9,15190256,32835
231,10,14,14297087.5,19768
231,15,19,12897729.5,27540
231,20,24,11232764,34590
231,25,29,9498991.5,32204
231,30,34,7711882,29291
