"ISOcode","AgeStart","AgeEnd","Ni","Mi"
76,100,"null",4595.5,2904
84,0,"4",17752.5,34
84,5,"9",18605,3
84,10,"14",17962,4
84,15,"19",19208.5,6
84,20,"24",19502,9
84,25,"29",18566,16
84,30,"34",17124,16
84,35,"39",15054,23
84,40,"44",12713,37
84,45,"49",11007,43
84,50,"54",9368,56
84,55,"59",7403,68
84,60,"64",5801,90
84,65,"69",4000,84
84,70,"74",2675,91
84,75,"79",1548,86
84,80,"84",921.5,91
84,85,"89",435,75
84,90,"94",149,41
84,95,"99",24.5,11
84,100,"null",1,1
90,0,"4",49893,171
90,5,"9",48910.5,33
90,10,"14",43782,22
90,15,"19",38828,34
90,20,"24",35429,43
90,25,"29",29250.5,42
90,30,"34",26266,46
90,35,"39",24843,56
90,40,"44",20729.5,64
90,45,"49",17576.5,80
90,50,"54",13957.5,94
90,55,"59",10372,104
90,60,"64",7397,118
90,65,"69",5605,150
90,70,"74",4075,183
90,75,"79",2365.5,181
90,80,"84",1436.5,187
90,85,"89",675.5,138
90,90,"94",189,61
90,95,"99",30,14
90,100,"null",1.5,1
92,0,"4",791.5,2
92,5,"9",1010,0
92,10,"14",1198,0
92,15,"19",1186,0
92,20,"24",1252,0
92,25,"29",1517.5,0
92,30,"34",1811,1
92,35,"39",2088,1
92,40,"44",2097,2
92,45,"49",1757.5,3
92,50,"54",1503.5,4
92,55,"59",1232.5,5
92,60,"64",1007,7
92,65,"69",742,9
92,70,"74",503.5,12
92,75,"79",308.5,14
92,80,"84",170,14
92,85,"89",88.5,13
92,90,"94",43,10
92,95,"99",9.5,3
92,100,"null",0,1
96,0,"4",15216,27
96,5,"9",15989,4
96,10,"14",15117,3
96,15,"19",16036,8
96,20,"24",17342.5,10
96,25,"29",18294.5,12
96,30,"34",18149,16
96,35,"39",17378.5,23
96,40,"44",16538,47
96,45,"49",15278,82
96,50,"54",13460.5,109
96,55,"59",10575.5,122
96,60,"64",8867.5,133
96,65,"69",6477,122
96,70,"74",4124,113
96,75,"79",2122.5,101
96,80,"84",1430,129
96,85,"89",602.5,152
96,90,"94",173,81
96,95,"99",31,25
96,100,"null",1.5,3
100,0,"4",149972.5,203
100,5,"9",162404.5,31
100,10,"14",170185,33
100,15,"19",157035.5,45
100,20,"24",150511,55
100,25,"29",162138,74
100,30,"34",221058,136
100,35,"39",232040.5,255
100,40,"44",243220,423
100,45,"49",263082,734
100,50,"54",248373.5,1075
100,55,"59",227521.5,1682
100,60,"64",240365,2715
100,65,"69",247273.5,4280
100,70,"74",242990,6631
100,75,"79",186810,8634
100,80,"84",120687,10377
100,85,"89",69906.5,11144
100,90,"94",22057.5,5980
100,95,"99",3550.5,1510
100,100,"null",223.5,132
104,0,"4",2168007.5,16309
104,5,"9",2162112.5,1631
104,10,"14",2140357,1246
104,15,"19",2189883,2072
104,20,"24",2205843,2927
104,25,"29",2167318,3428
104,30,"34",2071664,3931
104,35,"39",2074226,5062
104,40,"44",1894044,6281
104,45,"49",1723813,8258
104,50,"54",1560751.5,10973
104,55,"59",1364349,14289
104,60,"64",1135205.5,18741
104,65,"69",891897,24287
104,70,"74",607788,27815
104,75,"79",343625,26617
104,80,"84",182984.5,23950
104,85,"89",74061.5,15227
104,90,"94",17586.5,5710
104,95,"99",1883.5,867
104,100,"null",60.5,38
108,0,"4",1065800,10357
108,5,"9",1043124.5,3372
108,10,"14",937673.5,1723
108,15,"19",724061.5,1700
108,20,"24",531886,1572
108,25,"29",455306,1558
108,30,"34",442231,1741
108,35,"39",405387.5,1883
108,40,"44",320816.5,1885
108,45,"49",218225,1521
108,50,"54",159098.5,1519
108,55,"59",117479.5,1506
108,60,"64",96089,1876
108,65,"69",79279.5,2445
108,70,"74",53983,2637
108,75,"79",31329,2468
108,80,"84",15909,2032
108,85,"89",5683,1133
108,90,"94",1308,388
108,95,"99",153.5,68
108,100,"null",6.5,4
112,0,"4",208215.5,85
112,5,"9",283437.5,16
112,10,"14",263350,34
112,15,"19",216883,53
112,20,"24",212360,40
112,25,"29",250051,75
112,30,"34",345626,252
112,35,"39",375451.5,419
112,40,"44",342006.5,612
112,45,"49",329368,911
112,50,"54",326327,1374
112,55,"59",348125.5,2352
112,60,"64",388849,3709
112,65,"69",330206,4649
112,70,"74",270960,5732
112,75,"79",142057.5,6405
112,80,"84",151695,12075
112,85,"89",82925.5,12980
112,90,"94",27198.5,8572
112,95,"99",3633,1942
112,100,"null",151.5,114
116,0,"4",891529.5,3763
116,5,"9",850322,736
116,10,"14",820880.5,522
116,15,"19",772979,784
116,20,"24",688039.5,973
116,25,"29",703262,1177
116,30,"34",722596.5,1318
116,35,"39",673927.5,1434
116,40,"44",572128,1721
116,45,"49",386214,1484
116,50,"54",403125,2347
116,55,"59",369510.5,2921
116,60,"64",317497,4026
116,65,"69",249940.5,5329
116,70,"74",173402.5,6265
116,75,"79",101303.5,6216
116,80,"84",54744.5,5738
116,85,"89",22375.5,3759
116,90,"94",5413.5,1374
116,95,"99",637,250
116,100,"null",42.5,23
120,0,"4",2151571,29682
120,5,"9",1914494,2893
120,10,"14",1703702,1826
120,15,"19",1474672.5,2202
120,20,"24",1237502.5,2476
120,25,"29",1083013.5,2702
120,30,"34",957898,3015
120,35,"39",804308,3315
120,40,"44",654182,3558
120,45,"49",515655,3704
120,50,"54",403443.5,4031
120,55,"59",303219,4198
120,60,"64",234258,4893
120,65,"69",173093.5,5674
120,70,"74",116363,6321
120,75,"79",75394,6691
120,80,"84",39136,5571
120,85,"89",14601,3277
120,90,"94",3467.5,1155
120,95,"99",471.5,222
120,100,"null",30.5,20
124,0,"4",920622,767
124,5,"9",994430,71
124,10,"14",1033498.5,88
124,15,"19",1027904,229
124,20,"24",1188969.5,360
124,25,"29",1291737.5,482
124,30,"34",1354703,686
124,35,"39",1343891.5,1015
124,40,"44",1295479,1322
124,45,"49",1220467,1923
124,50,"54",1228973.5,3080
124,55,"59",1335278.5,5539
124,60,"64",1339987.5,8583
124,65,"69",1189570,10157
124,70,"74",982575.5,13852
124,75,"79",733579.5,16984
124,80,"84",488785.5,20086
124,85,"89",320686.5,23899
124,90,"94",177650,25455
124,95,"99",59917.5,15109
124,100,"null",10197.5,4201
132,0,"4",20739,38
132,5,"9",23993.5,3
